quantity,pop,year,median,sd
S,LwrMain,2010,3512.317214,407.4870773
S,LwrMain,2011,5603.20356,824.2860387
S,LwrMain,2012,6957.236624,317.9831837
S,LwrMain,2013,7936.897547,2452.097567
S,LwrMain,2014,8110.769042,949.7358819
S,LwrMain,2015,11776.34082,551.2352776
logR,MidMain,1985,9.914926395,0.268161669
logR,MidMain,1986,10.69723117,0.191040527
logR,MidMain,1987,9.595893944,0.451172965
logR,MidMain,1988,9.957376603,0.363494681
logR,MidMain,1989,11.14775955,0.141602689
logR,MidMain,1990,8.775508809,0.656348505
logR,MidMain,1991,11.31111818,0.094343793
logR,MidMain,1992,7.125240249,0.607811807
logR,MidMain,1993,9.376948846,0.304911375
logR,MidMain,1994,9.547737679,0.321644238
logR,MidMain,1995,10.58731236,0.212249026
logR,MidMain,1996,10.95512614,0.113397977
logR,MidMain,1997,9.225672472,0.414212466
logR,MidMain,1998,10.47280032,0.137435299
logR,MidMain,1999,10.12471339,0.094744564
logR,MidMain,2000,9.665065131,0.09943799
logR,MidMain,2001,7.825745237,0.256193836
logR,MidMain,2002,9.51960564,0.076319924
logR,MidMain,2003,8.840199329,0.075214674
logR,MidMain,2004,8.967238867,0.08692652
logR,MidMain,2005,9.739520109,0.053289714
logR,MidMain,2006,9.370997871,0.061233465
logR,MidMain,2007,8.828719743,0.061966285
logR,MidMain,2008,9.305274429,0.070160125
logR,MidMain,2009,9.887286239,0.044316596
logR,MidMain,2010,9.324357761,0.058558746
logR,MidMain,2011,9.120554683,0.051833028
logR,MidMain,2012,9.438345348,0.047481434
logR,MidMain,2013,9.580681353,0.108891848
logR,MidMain,2014,9.893862311,0.284152487
logR,MidMain,2015,10.28085977,0.911510843
S,MidMain,1985,8633.688775,1096.969008
S,MidMain,1986,12544.20729,1282.040461
S,MidMain,1987,7535.580164,961.8705253
S,MidMain,1988,4916.178757,675.2162527
S,MidMain,1989,1502.237857,472.82321
S,MidMain,1990,1711.035174,452.5531907
S,MidMain,1991,10496.12777,1427.464645
S,MidMain,1992,12592.07128,1929.129199
S,MidMain,1993,7196.588141,891.5117525
S,MidMain,1994,9514.17859,1152.260467
S,MidMain,1995,20745.45634,1989.0755
S,MidMain,1996,15815.37546,1288.587017
S,MidMain,1997,22160.69439,2042.512908
S,MidMain,1998,2575.454099,371.4348359
S,MidMain,1999,4333.220352,553.7068878
S,MidMain,2000,10228.84487,958.6388667
S,MidMain,2001,36778.84913,4892.943247
S,MidMain,2002,22976.4508,1833.016634
S,MidMain,2003,11751.02658,1221.773448
S,MidMain,2004,13659.52119,1255.44316
S,MidMain,2005,14136.51126,213.533839
S,MidMain,2006,6670.83975,155.8659934
S,MidMain,2007,2364.025082,92.50961729
S,MidMain,2008,6751.563553,182.2817608
S,MidMain,2009,5911.422942,144.175734
S,MidMain,2010,5770.090922,190.1424508
S,MidMain,2011,9575.619435,151.3919327
S,MidMain,2012,6668.423366,147.6351025
S,MidMain,2013,5294.451259,128.834144
S,MidMain,2014,17667.86777,805.1390172
S,MidMain,2015,17967.92907,241.0509461
logR,Pelly,1985,9.201991979,0.430349642
logR,Pelly,1986,10.22070895,0.232584148
logR,Pelly,1987,9.870637626,0.288711947
logR,Pelly,1988,9.859492733,0.30420342
logR,Pelly,1989,10.14991055,0.303922838
logR,Pelly,1990,9.199771372,0.394301494
logR,Pelly,1991,10.03536272,0.245143307
logR,Pelly,1992,9.583277881,0.321395151
logR,Pelly,1993,9.997850064,0.23941643
logR,Pelly,1994,9.405988602,0.245735979
logR,Pelly,1995,8.943890566,0.35165087
logR,Pelly,1996,8.513085556,0.387271733
logR,Pelly,1997,10.0868476,0.169450141
logR,Pelly,1998,9.978433637,0.198633378
logR,Pelly,1999,9.347267285,0.255221887
logR,Pelly,2000,9.46172257,0.378255211
logR,Pelly,2001,10.43036973,0.119640882
logR,Pelly,2002,8.043671612,0.2131573
logR,Pelly,2003,9.74369428,0.075224246
logR,Pelly,2004,9.217251592,0.099930227
logR,Pelly,2005,9.297186928,0.102378894
logR,Pelly,2006,9.009710595,0.130718899
logR,Pelly,2007,8.437505807,0.142396695
logR,Pelly,2008,8.438477086,0.154540922
logR,Pelly,2009,9.549585864,0.067978179
logR,Pelly,2010,8.85628707,0.09706869
logR,Pelly,2011,9.499135088,0.097841239
logR,Pelly,2012,9.371867688,0.095456428
logR,Pelly,2013,9.049927465,0.176895645
logR,Pelly,2014,9.771720299,0.289244992
logR,Pelly,2015,9.808010653,0.629155891
S,Pelly,1985,6258.563081,1022.698513
S,Pelly,1986,9618.73691,1385.80335
S,Pelly,1987,7489.11993,1044.019716
S,Pelly,1988,7471.683834,1481.51242
S,Pelly,1989,7424.070458,2275.954513
S,Pelly,1990,5262.343502,1740.747335
S,Pelly,1991,7775.92415,1532.268729
S,Pelly,1992,8819.718693,1441.178086
S,Pelly,1993,6721.985104,1029.983873
S,Pelly,1994,6455.084896,904.3029456
S,Pelly,1995,9195.043183,2006.902568
S,Pelly,1996,7344.579371,1030.884889
S,Pelly,1997,8780.056344,1387.699253
S,Pelly,1998,6513.392318,754.1960511
S,Pelly,1999,6049.606434,1030.403885
S,Pelly,2000,5744.785483,748.3127181
S,Pelly,2001,7491.761175,1292.429616
S,Pelly,2002,5463.167586,682.7157238
S,Pelly,2003,12157.57776,1385.098095
S,Pelly,2004,8602.90753,1162.241299
S,Pelly,2005,8512.010039,1007.317622
S,Pelly,2006,11987.69627,1024.592405
S,Pelly,2007,8527.742431,852.9873631
S,Pelly,2008,5334.545994,357.2917687
S,Pelly,2009,10514.93206,554.2825298
S,Pelly,2010,5224.820818,347.5191401
S,Pelly,2011,6610.57842,526.1677483
S,Pelly,2012,4506.320979,459.5904714
S,Pelly,2013,3245.244295,340.9724974
S,Pelly,2014,10233.32041,763.5346052
S,Pelly,2015,12664.4539,546.1287069
logR,Stewart,1985,7.718455891,0.643903041
logR,Stewart,1986,9.499204706,0.402649874
logR,Stewart,1987,9.186494589,0.502016236
logR,Stewart,1988,8.752386856,0.617714859
logR,Stewart,1989,9.806824161,0.298651638
logR,Stewart,1990,8.803469768,0.503477646
logR,Stewart,1991,8.42432924,0.614383427
logR,Stewart,1992,10.02493529,0.201522165
logR,Stewart,1993,9.027533889,0.354874331
logR,Stewart,1994,7.915146679,0.431464073
logR,Stewart,1995,8.216822975,0.403372835
logR,Stewart,1996,7.852136552,0.57366804
logR,Stewart,1997,8.833668375,0.381424399
logR,Stewart,1998,9.139091001,0.306299337
logR,Stewart,1999,8.688353964,0.307367244
logR,Stewart,2000,6.543078363,0.471616528
