 ID,PARAM,MM--YYYY,Value
09ED001,1,03--2001,628
09ED001,1,04--2001,610
09ED001,1,05--2001,2780
09ED001,1,06--2001,7960
09ED001,1,07--2001,6390
09ED001,1,08--2001,4670
09ED001,1,09--2001,3530
09ED001,1,10--2001,2240
09ED001,1,11--2001,1170
09ED001,1,12--2001,809
09ED001,1,01--2002,642
09ED001,1,02--2002,542
09ED001,1,03--2002,467
09ED001,1,04--2002,438
09ED001,1,05--2002,4960
09ED001,1,06--2002,4640
09ED001,1,07--2002,3930
09ED001,1,08--2002,4820
09ED001,1,09--2002,4250
09ED001,1,10--2002,2270
09ED001,1,11--2002,1420
09ED001,1,12--2002,885
09ED001,1,01--2003,742
09ED001,1,02--2003,625
09ED001,1,03--2003,558
09ED001,1,04--2003,596
09ED001,1,05--2003,2810
09ED001,1,06--2003,4590
09ED001,1,07--2003,4450
09ED001,1,08--2003,3100
09ED001,1,09--2003,2750
09ED001,1,10--2003,
09ED001,1,11--2003,
09ED001,1,12--2003,
09ED001,1,01--2004,618
09ED001,1,02--2004,581
09ED001,1,03--2004,551
09ED001,1,04--2004,572
09ED001,1,05--2004,4180
09ED001,1,06--2004,6600
09ED001,1,07--2004,4080
09ED001,1,08--2004,3380
09ED001,1,09--2004,2300
09ED001,1,10--2004,
09ED001,1,11--2004,
09ED001,1,12--2004,
09ED001,1,01--2005,579
09ED001,1,02--2005,540
09ED001,1,03--2005,538
09ED001,1,04--2005,590
09ED001,1,05--2005,5400
09ED001,1,06--2005,6400
09ED001,1,07--2005,4900
09ED001,1,08--2005,4020
09ED001,1,09--2005,3430
09ED001,1,10--2005,2510
09ED001,1,11--2005,1220
09ED001,1,12--2005,938
09ED001,1,01--2006,712
09ED001,1,02--2006,565
09ED001,1,03--2006,523
09ED001,1,04--2006,534
09ED001,1,05--2006,3440
09ED001,1,06--2006,6040
09ED001,1,07--2006,4780
09ED001,1,08--2006,3580
09ED001,1,09--2006,3150
09ED001,1,10--2006,2360
09ED001,1,11--2006,923
09ED001,1,12--2006,842
09ED001,1,01--2007,700
09ED001,1,02--2007,582
09ED001,1,03--2007,514
09ED001,1,04--2007,523
09ED001,1,05--2007,3200
09ED001,1,06--2007,5850
09ED001,1,07--2007,5470
09ED001,1,08--2007,4520
09ED001,1,09--2007,3700
09ED001,1,10--2007,2500
09ED001,1,11--2007,1160
09ED001,1,12--2007,929
09ED001,1,01--2008,739
09ED001,1,02--2008,565
09ED001,1,03--2008,526
09ED001,1,04--2008,630
09ED001,1,05--2008,4190
09ED001,1,06--2008,5010
09ED001,1,07--2008,5670
09ED001,1,08--2008,5060
09ED001,1,09--2008,4740
09ED001,1,10--2008,3140
09ED001,1,11--2008,1920
09ED001,1,12--2008,1000
09ED001,1,01--2009,693
09ED001,1,02--2009,554
09ED001,1,03--2009,507
09ED001,1,04--2009,524
09ED001,1,05--2009,5480
09ED001,1,06--2009,6800
09ED001,1,07--2009,3990
09ED001,1,08--2009,3220
09ED001,1,09--2009,3300
09ED001,1,10--2009,2370
09ED001,1,11--2009,1300
09ED001,1,12--2009,935
09ED001,1,01--2010,723
09ED001,1,02--2010,585
09ED001,1,03--2010,525
09ED001,1,04--2010,688
09ED001,1,05--2010,2980
09ED001,1,06--2010,4120
09ED001,1,07--2010,5070
09ED001,1,08--2010,3770
09ED001,1,09--2010,2980
09ED001,1,10--2010,1700
09ED001,1,11--2010,1140
09ED001,1,12--2010,907
09ED001,1,01--2011,689
09ED001,1,02--2011,537
09ED001,1,03--2011,468
09ED001,1,04--2011,483
09ED001,1,05--2011,3920
09ED001,1,06--2011,6370
09ED001,1,07--2011,6430
09ED001,1,08--2011,5090
09ED001,1,09--2011,3600
09ED001,1,10--2011,2340
09ED001,1,11--2011,1420
09ED001,1,12--2011,952
09ED001,1,01--2012,759
09ED001,1,02--2012,638
09ED001,1,03--2012,553
09ED001,1,04--2012,754
09ED001,1,05--2012,3250
09ED001,1,06--2012,7170
09ED001,1,07--2012,6650
09ED001,1,08--2012,4170
09ED001,1,09--2012,3320
09ED001,1,10--2012,2310
09ED001,1,11--2012,1270
09ED001,1,12--2012,906
09ED001,1,01--2013,710
09ED001,1,02--2013,619
09ED001,1,03--2013,556
09ED001,1,04--2013,563
09ED001,1,05--2013,5030
09ED001,1,06--2013,8630
09ED001,1,07--2013,5300
09ED001,1,08--2013,4210
09ED001,1,09--2013,3940
09ED001,1,10--2013,
09ED001,1,11--2013,
09ED001,1,12--2013,
09ED001,1,01--2014,731
09ED001,1,02--2014,615
09ED001,1,03--2014,556
09ED001,1,04--2014,780
09ED001,1,05--2014,4620
09ED001,1,06--2014,4540
09ED001,1,07--2014,4450
09ED001,1,08--2014,3970
09ED001,1,09--2014,3520
09ED001,1,10--2014,2880
09ED001,1,11--2014,1590
09ED001,1,12--2014,1020
09ED001,1,01--2015,879
09ED001,1,02--2015,786
09ED001,1,03--2015,711
09ED001,1,04--2015,672
09ED001,1,05--2015,4180
09ED001,1,06--2015,4710
09ED001,1,07--2015,4500
09ED001,1,08--2015,4380
09ED001,1,09--2015,4620
09ED001,1,10--2015,3140
09ED001,1,11--2015,1760
09ED001,1,12--2015,1180
09ED001,1,01--2016,
09ED001,1,02--2016,
09ED001,1,03--2016,
09ED001,1,04--2016,
09ED001,1,05--2016,
09ED001,1,06--2016,
09ED001,1,07--2016,
09ED001,1,08--2016,
09ED001,1,09--2016,
09ED001,1,10--2016,
09ED001,1,11--2016,
09ED001,1,12--2016,
09ED001,1,01--2017,636
09ED001,1,02--2017,541
09ED001,1,03--2017,479
09ED001,1,04--2017,478
09ED001,1,05--2017,2690
09ED001,1,06--2017,4230
09ED001,1,07--2017,4590
09ED001,1,08--2017,3620
09ED001,1,09--2017,2700
09ED001,1,10--2017,2050
09ED001,1,11--2017,1050
09ED001,1,12--2017,715
