OID_,SUB_DRAINA,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,StdTime_Max,MEAN
175,Teslin,7,35505.000000000000000,35505.000000000000000,swe,StdTime,2006-01-01 0:00:00,2007-01-01 0:00:00,212.003474443996311
176,Carmacks,8,14510.000000000000000,14510.000000000000000,swe,StdTime,2006-01-01 0:00:00,2007-01-01 0:00:00,105.728902794425835
177,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,swe,StdTime,2007-01-01 0:00:00,2008-01-01 0:00:00,107.303069358176288
178,Stewart,2,54143.000000000000000,54143.000000000000000,swe,StdTime,2007-01-01 0:00:00,2008-01-01 0:00:00,247.628510425081629
179,Pelly,3,52274.000000000000000,52274.000000000000000,swe,StdTime,2007-01-01 0:00:00,2008-01-01 0:00:00,254.023290326565728
180,White Donjek,4,35813.000000000000000,35813.000000000000000,swe,StdTime,2007-01-01 0:00:00,2008-01-01 0:00:00,84.256457703550197
181,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,swe,StdTime,2007-01-01 0:00:00,2008-01-01 0:00:00,462.560152090758834
182,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,swe,StdTime,2007-01-01 0:00:00,2008-01-01 0:00:00,103.100556261063446
183,Teslin,7,35505.000000000000000,35505.000000000000000,swe,StdTime,2007-01-01 0:00:00,2008-01-01 0:00:00,264.997005227886632
184,Carmacks,8,14510.000000000000000,14510.000000000000000,swe,StdTime,2007-01-01 0:00:00,2008-01-01 0:00:00,102.423255003673859
185,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,swe,StdTime,2008-01-01 0:00:00,2009-01-01 0:00:00,126.468231105307595
186,Stewart,2,54143.000000000000000,54143.000000000000000,swe,StdTime,2008-01-01 0:00:00,2009-01-01 0:00:00,117.009403590903787
187,Pelly,3,52274.000000000000000,52274.000000000000000,swe,StdTime,2008-01-01 0:00:00,2009-01-01 0:00:00,118.799854791286904
188,White Donjek,4,35813.000000000000000,35813.000000000000000,swe,StdTime,2008-01-01 0:00:00,2009-01-01 0:00:00,133.767837638706823
189,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,swe,StdTime,2008-01-01 0:00:00,2009-01-01 0:00:00,462.801681799658411
190,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,swe,StdTime,2008-01-01 0:00:00,2009-01-01 0:00:00,126.463900130288920
191,Teslin,7,35505.000000000000000,35505.000000000000000,swe,StdTime,2008-01-01 0:00:00,2009-01-01 0:00:00,222.787478112093737
