agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va
USGS,15565447,60,1155,1986,9,427300
USGS,15565447,60,1155,1986,10,315100
USGS,15565447,60,1155,1986,11,188800
USGS,15565447,60,1155,1986,12,86030
USGS,15565447,60,1155,1987,1,70000
USGS,15565447,60,1155,1987,2,60000
USGS,15565447,60,1155,1987,3,52000
USGS,15565447,60,1155,1987,4,47830
USGS,15565447,60,1155,1987,5,141200
USGS,15565447,60,1155,1987,6,580800
USGS,15565447,60,1155,1987,7,425900
USGS,15565447,60,1155,1987,8,386000
USGS,15565447,60,1155,1987,9,324000
USGS,15565447,60,1155,1987,10,247700
USGS,15565447,60,1155,1987,11,94430
USGS,15565447,60,1155,1987,12,50000
USGS,15565447,60,1155,1988,1,50000
USGS,15565447,60,1155,1988,2,50000
USGS,15565447,60,1155,1988,3,50000
USGS,15565447,60,1155,1988,4,51670
USGS,15565447,60,1155,1988,5,216900
USGS,15565447,60,1155,1988,6,568800
USGS,15565447,60,1155,1988,7,440500
USGS,15565447,60,1155,1988,8,426000
USGS,15565447,60,1155,1988,9,374700
USGS,15565447,60,1155,1988,10,213500
USGS,15565447,60,1155,1988,11,72500
USGS,15565447,60,1155,1988,12,55000
USGS,15565447,60,1155,1989,1,55000
USGS,15565447,60,1155,1989,2,55000
USGS,15565447,60,1155,1989,3,55000
USGS,15565447,60,1155,1989,4,55000
USGS,15565447,60,1155,1989,5,236900
USGS,15565447,60,1155,1989,6,669500
USGS,15565447,60,1155,1989,7,480900
USGS,15565447,60,1155,1989,8,388500
USGS,15565447,60,1155,1989,9,361400
USGS,15565447,60,1155,1989,10,239200
USGS,15565447,60,1155,1989,11,87130
USGS,15565447,60,1155,1989,12,57420
USGS,15565447,60,1155,1990,1,50320
USGS,15565447,60,1155,1990,2,47360
USGS,15565447,60,1155,1990,3,47000
USGS,15565447,60,1155,1990,4,47470
USGS,15565447,60,1155,1990,5,458100
USGS,15565447,60,1155,1990,6,618700
USGS,15565447,60,1155,1990,7,425200
USGS,15565447,60,1155,1990,8,315000
USGS,15565447,60,1155,1990,9,420700
USGS,15565447,60,1155,1990,10,335900
USGS,15565447,60,1155,1990,11,110500
USGS,15565447,60,1155,1990,12,67580
USGS,15565447,60,1155,1991,1,60000
USGS,15565447,60,1155,1991,2,52680
USGS,15565447,60,1155,1991,3,50000
USGS,15565447,60,1155,1991,4,51670
USGS,15565447,60,1155,1991,5,501700
USGS,15565447,60,1155,1991,6,619000
USGS,15565447,60,1155,1991,7,454800
USGS,15565447,60,1155,1991,8,372900
