OID_,Site,Distance,FID_Yukon_spawning_sites,Site_1,Latitude,Longitude,FID_YRC_CU,OBJECTID_1,WATERSHED_,SUB_SUB_DR,MAJOR_DRAI,MAJOR_DR_1,SUB_DRAINA,SUB_DRAI_1,SUB_SUB__1,SUB_SUB__2,GEOMETRY_A,GEOMETRY_L,Shape_Leng
0,IncisedCr,2583,25,IncisedCr,62.04335,-136.27931,0,1,38,09CD,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Middle Mainstem,Cours supérieur du Yukon,Upper Yukon - White,Cours supérieur du Yukon - White,5273477402,457456.6719,457456.6719
0,JanetCr,2527,8,JanetCr,63.61854,-135.47825,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803995,824898.4859,824898.4859
0,JenningsR,3017,74,JenningsR,59.66589,-132.14129,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294703,939903.4461,939903.4461
0,KirklandCr,2669,26,KirklandCr,61.74405,-136.04099,0,1,38,09CD,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Middle Mainstem,Cours supérieur du Yukon,Upper Yukon - White,Cours supérieur du Yukon - White,5273477402,457456.6719,457456.6719
0,KlinkitCr,3086,75,KlinkitCr,59.42831,-131.35852,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294703,939903.4461,939903.4461
0,KlondikeR,2168,9,KlondikeR,64.05033,-139.43613,5,44,18,09ED,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Lower Mainstem,Cours moyen du Yukon,Central Yukon - Tatonduk,Cours moyen du Yukon - Tatonduk,23044564367,962165.1234,962165.1234
0,KlottasinCr,2415,27,KlottasinCr,62.56538,-139.51004,3,8,44,09CA,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,White Donjek,Cours supérieur du Yukon,Donjek,Donjek,26540744635,940515.5563,940515.5563
0,KluaneR,2523,28,KluaneR,61.87685,-139.72029,3,8,44,09CA,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,White Donjek,Cours supérieur du Yukon,Donjek,Donjek,26540744635,940515.5563,940515.5563
0,KlushaCr,2676,29,KlushaCr,61.73597,-136.01366,0,1,38,09CD,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Middle Mainstem,Cours supérieur du Yukon,Upper Yukon - White,Cours supérieur du Yukon - White,5273477402,457456.6719,457456.6719
0,LapieR,2832,50,LapieR,62.02919,-132.60824,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744231,1069626.276,1069626.276
0,LittleKalzasR,2581,51,LittleKalzasR,62.89029,-135.4707,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744231,1069626.276,1069626.276
0,LittleSalmonR,2591,30,LittleSalmonR,62.05396,-135.66633,7,0,0, , , ,Carmacks, , , ,0,0,0
0,LTeslinR,2704,76,LTeslinR,61.56791,-134.89504,4,25,69,09AC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Takhini,Takhini,8298916148,537860.2347,537860.2347
0,M’ClintockR,2886,79,M’ClintockR,60.55894,-134.48936,4,25,69,09AC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Upper Lakes and Mainstem,Eaux d'amont du Yukon,Takhini,Takhini,8298916148,537860.2347,537860.2347
0,MacmillanR,2542,52,MacmillanR,62.86734,-135.89869,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744231,1069626.276,1069626.276
