Year,Korea,Japan,M&I,WKam,EKam,WAK,SPen,Kod,CI,PWS,SEAK,NBC,SBC,WA,Total
1995,0.0,14.1,110.9,0.6,77.9,0.1,30.8,54.8,4.1,21.0,83.9,13.0,21.6,2.2,231.3
1996,0.0,23.9,105.5,77.4,15.8,4.0,9.2,7.3,1.5,28.1,125.6,22.9,3.1,0.0,197.7
1997,0.0,8.4,142.2,0.9,99.6,0.3,12.2,14.7,4.0,31.1,66.2,6.6,15.1,0.4,150.5
1998,0.0,16.8,94.9,137.4,13.3,3.8,16.4,30.3,3.3,33.5,82.9,8.0,2.9,0.0,177.3
1999,0.0,9.5,115.9,0.1,107.6,0.1,17.6,16.7,1.9,56.4,154.9,9.3,10.4,1.0,267.9
2000,0.0,19.3,127.8,88.8,1.8,2.4,8.6,15.1,2.4,44.6,50.9,13.1,7.0,0.0,141.7
2001,0.0,5.7,127.8,1.4,43.4,0.1,12.5,23.7,1.4,42.4,115.5,18.0,6.3,3.7,223.4
2002,0.0,17.4,98.0,82.3,4.7,2.6,7.8,28.0,3.6,23.0,98.9,14.9,1.6,0.0,177.9
2003,0.0,16.6,139.4,0.7,66.7,0.6,14.3,20.1,1.7,63.2,96.6,18.6,24.6,3.3,242.4
2004,0.0,7.9,55.4,85.2,22.8,7.2,16.6,31.2,8.0,29.8,85.4,9.3,2.3,0.0,182.8
2005,0.0,11.2,166.3,23.9,100.5,2.6,17.0,34.5,6.8,76.4,109.3,18.0,26.0,2.0,290.1
2006,0.0,6.1,126.7,60.2,29.1,3.7,8.2,38.4,3.1,26.8,37.5,2.9,1.1,0.0,118.1
2007,0.0,16.9,188.6,13.7,101.1,0.2,14.2,28.0,2.0,69.1,89.0,11.3,11.6,3.2,228.4
2008,0.0,8.0,111.2,69.8,12.0,3.7,20.0,12.7,1.2,45.4,39.9,3.2,1.1,0.0,123.4
2009,0.0,12.6,250.6,4.5,199.7,0.2,13.9,33.5,2.7,24.5,70.6,23.7,10.5,10.3,189.7
2010,0.0,8.9,118.5,104.9,14.4,4.7,2.7,13.2,0.6,77.1,52.9,7.0,2.3,0.0,155.8
2011,0.0,6.2,205.5,5.2,222.6,0.2,10.2,19.8,0.8,44.6,103.2,4.6,25.2,5.7,214.0
2012,0.0,2.5,145.5,143.8,23.7,3.8,1.7,22.4,1.5,30.4,49.3,7.3,3.6,0.0,116.2
2013,0.0,4.4,170.8,1.6,33.4,0.2,12.5,33.2,4.3,106.4,158.8,19.9,23.5,8.7,367.4
2014,0.0,1.8,136.7,6.4,48.2,4.6,2.8,13.7,1.8,45.7,72.5,13.9,7.7,0.0,158.2
2015,0.0,2.3,80.9,3.4,163.5,0.2,28.5,39.4,13.1,115.5,65.5,15.5,15.7,6.0,299.2
