"","subbasin","year","tmean","tmean14"
"1","Carmacks","1985",8.21036429872495,9.26410226385636
"2","Carmacks","1986",8.66159380692168,9.71967993754879
"3","Carmacks","1987",9.38373406193078,10.5135779339058
"4","Carmacks","1988",8.86999089253188,9.865483346344
"5","Carmacks","1989",11.0639435336976,12.0108886286755
"6","Carmacks","1990",10.76,11.6544067135051
"7","Carmacks","1991",9.47891621129326,10.2940287535779
"8","Carmacks","1992",6.896029143898,8.40535323965652
"9","Carmacks","1993",9.68305100182149,10.931912568306
"10","Carmacks","1994",11.0484517304189,12.4559009888108
"11","Carmacks","1995",10.7308925318761,11.1026411657559
"12","Carmacks","1996",8.16575591985428,9.64557832422586
"13","Carmacks","1997",10.8034972677596,11.7317694509498
"14","Carmacks","1998",9.17857012750455,10.1959868592246
"15","Carmacks","1999",10.3760928961749,11.3952907884465
"16","Carmacks","2000",8.12523679417122,9.22004683840749
"17","Carmacks","2001",10.6328597449909,11.6120849596669
"18","Carmacks","2002",9.24147540983606,10.0847215716888
"19","Carmacks","2003",8.80587431693989,9.81606687483737
"20","Carmacks","2004",9.3395810564663,10.5311553473849
"21","Carmacks","2005",10.34485428051,11.0619255789748
"22","Carmacks","2006",9.91266848816029,10.8038479052823
"23","Carmacks","2007",9.8149635701275,11.2464240176945
"24","Carmacks","2008",8.90067395264117,9.75501951600312
"25","Carmacks","2009",10.1662204007286,11.7240014311736
"26","Carmacks","2010",10.1773224043716,11.5170186052563
"27","Carmacks","2011",9.34182149362477,10.3843221441582
"28","Carmacks","2012",10.1891438979964,11.0366081186573
"29","Carmacks","2013",11.516839708561,12.745295992714
"30","Carmacks","2014",9.98787795992714,10.9515040333073
"31","Carmacks","2015",9.09409836065574,9.927972937809
"32","Lower Mainstem","1985",8.16784153005464,9.32993852459016
"33","Lower Mainstem","1986",8.43054644808743,9.71347775175644
"34","Lower Mainstem","1987",8.84080601092896,9.96343774395004
"35","Lower Mainstem","1988",8.81945355191257,10.050537665886
"36","Lower Mainstem","1989",10.6566530054645,11.8231098750976
"37","Lower Mainstem","1990",9.74886612021858,10.9520491803279
"38","Lower Mainstem","1991",8.94072404371585,10.005218579235
"39","Lower Mainstem","1992",5.63959016393443,7.85347092115535
"40","Lower Mainstem","1993",9.21034153005465,11.0662158469945
"41","Lower Mainstem","1994",10.495368852459,12.2291305620609
"42","Lower Mainstem","1995",10.6913114754098,11.1558762685402
"43","Lower Mainstem","1996",7.79043715846995,9.42483411397346
"44","Lower Mainstem","1997",10.7433879781421,11.8523907103825
"45","Lower Mainstem","1998",8.95483606557377,10.1305454722873
"46","Lower Mainstem","1999",9.80497267759563,11.0432777127244
"47","Lower Mainstem","2000",7.05252732240437,8.50859289617486
"48","Lower Mainstem","2001",9.9683606557377,11.0190642076503
"49","Lower Mainstem","2002",8.87829234972678,9.80830015612803
"50","Lower Mainstem","2003",7.85569672131148,9.1291637392662
"51","Lower Mainstem","2004",7.91107923497268,9.50124024199844
"52","Lower Mainstem","2005",9.85989071038251,10.6384679937549
"53","Lower Mainstem","2006",9.63094262295082,10.7566891100703
"54","Lower Mainstem","2007",9.78430327868852,11.3901697892272
"55","Lower Mainstem","2008",8.20170765027322,9.33973555815769
"56","Lower Mainstem","2009",9.53214480874317,11.2580298594848
"57","Lower Mainstem","2010",9.50982240437158,11.2202351678376
"58","Lower Mainstem","2011",9.48487704918033,10.7536855971897
"59","Lower Mainstem","2012",10.0924453551913,11.0689412568306
"60","Lower Mainstem","2013",10.1971174863388,11.7230669398907
"61","Lower Mainstem","2014",9.37125683060109,10.5217847384856
"62","Lower Mainstem","2015",8.51229508196721,9.72694672131148
"63","Middle Mainstem","1985",8.22546106557377,9.28502634660422
"64","Middle Mainstem","1986",8.58830942622951,9.71954844847775
"65","Middle Mainstem","1987",9.40196721311475,10.5754683840749
"66","Middle Mainstem","1988",9.12294057377049,10.1801822306792
"67","Middle Mainstem","1989",11.0055532786885,11.9958321135831
"68","Middle Mainstem","1990",10.6860860655738,11.6713890515222
"69","Middle Mainstem","1991",9.51117827868852,10.4055013173302
"70","Middle Mainstem","1992",6.50252049180328,8.21022175058548
"71","Middle Mainstem","1993",9.64409836065574,11.0622899590164
"72","Middle Mainstem","1994",11.0486680327869,12.4658394320843
"73","Middle Mainstem","1995",10.9694262295082,11.34337529274
"74","Middle Mainstem","1996",8.13564549180328,9.60227971311475
"75","Middle Mainstem","1997",10.7809733606557,11.7255532786885
"76","Middle Mainstem","1998",9.04409836065574,10.1333862704918
"77","Middle Mainstem","1999",10.2627254098361,11.3531081674473
"78","Middle Mainstem","2000",7.91321721311475,9.09149663348946
"79","Middle Mainstem","2001",10.3355840163934,11.3451068501171
"80","Middle Mainstem","2002",9.23537909836066,10.1002920081967
"81","Middle Mainstem","2003",8.56661885245902,9.57774956088993
"82","Middle Mainstem","2004",9.08876024590164,10.3397131147541
"83","Middle Mainstem","2005",10.341731557377,11.0735794789227
"84","Middle Mainstem","2006",9.81804303278689,10.7160655737705
"85","Middle Mainstem","2007",9.95859631147541,11.3838107435597
"86","Middle Mainstem","2008",8.81220286885246,9.73908518735363
"87","Middle Mainstem","2009",9.94681352459016,11.5260465456674
"88","Middle Mainstem","2010",9.96247950819672,11.3831045081967
"89","Middle Mainstem","2011",9.37365778688525,10.4464395491803
"90","Middle Mainstem","2012",10.17875,10.9852100409836
"91","Middle Mainstem","2013",11.1023668032787,12.4341239754098
"92","Middle Mainstem","2014",9.90179303278689,10.9392754683841
"93","Middle Mainstem","2015",8.88556352459016,9.80165032201405
