Year,Korea,Japan,M&I,WKam,EKam,WAK,SPen,Kod,CI,PWS,SEAK,NBC,SBC,WA,Total
1982,0.000972,32.61253646,11.7986117,0.551303225,2.162876245,8.259767516,2.52124835,2.352449,3.248138189,2.063943403,2.477894145,2.571403113,5.683921513,1.598904045,77.9039689
1983,0.002195,37.32184956,12.50477578,0.208149992,5.151746274,8.749468811,1.983252523,1.956846,2.50397,1.840682,1.985273526,1.750678516,3.470231772,0.724212556,80.15333231
1984,0.002855,42.26170123,10.5340899,0.750041928,3.023790058,12.0024944,3.012557356,1.327835002,1.914503,1.618519,7.668322079,2.523293885,3.645365562,1.268137345,91.55350575
1985,0.003349,52.31441592,10.60377922,2.60955561,4.209296724,9.357649031,1.905978355,1.046188239,2.115526,3.178839,5.817695339,4.15400993,8.230173367,1.596896883,107.1433526
1986,0.004486,50.57389745,12.1648986,1.723324402,4.882096857,8.773470781,2.609757159,1.825596,2.788494,2.175368,5.552593293,5.512739904,8.143056255,1.687719495,108.4174982
1987,0.006011,44.8353295,10.93020533,1.524355319,3.864808862,8.940385558,2.264453266,1.13069395,1.362051,2.81151,6.30503339,3.044780615,4.366575017,1.937449549,93.32364236
1988,0.008883,52.51262615,12.28655764,1.404070526,2.469676625,11.89532348,2.91236176,2.009993,2.4323,3.104512,6.726893746,5.2361386,6.560088543,2.396001,111.9554261
1989,0.00995,55.61853905,12.47635986,1.020808015,2.869875144,9.73033783,1.237548291,1.190262912,1.0034,1.748964,2.861675996,2.652139638,5.552738665,1.10986,99.0824594
1990,0.014164,69.01221084,10.30766345,1.212146599,4.438798887,7.234167948,1.881562605,1.068113,0.819829,1.439808,3.400015469,3.745000274,7.625288352,1.40909,113.6078584
1991,0.02124,60.7762674,11.19225461,1.000396873,1.591232478,8.452351482,2.588214892,1.984495869,0.890939023,0.409669,4.471780444,2.489703729,8.036624206,1.391044,105.296214
1992,0.104113,45.92518419,8.893302786,0.818677351,1.881604907,7.15348387,2.2798,1.19375,0.986688,0.622279,7.769089074,1.674177462,10.96553085,2.144613,92.41229349
1993,0.094927,62.66771722,22.92549034,1.030121112,2.143159652,5.114687812,1.606293,0.812849,0.409692,1.543648,10.4796939,2.287186939,10.16180514,1.541817,122.8190881
1994,0.102885,63.81875619,21.2850228,1.705809804,3.650279631,9.077608881,3.245546,1.12072,0.957001,1.465997,13.88871213,2.828027515,11.63532445,2.63718,137.4188704
1995,0.110828,75.63404392,21.13925596,1.163872941,2.36042223,11.02993962,3.214008,1.968201,1.47307,1.1255,15.17914787,3.308857831,7.117394891,1.407255,146.2317973
1996,0.117868,86.83616308,22.7765862,1.575139809,2.36018456,10.81857105,2.003987,0.912953,0.615492,2.474693,20.94384525,2.496511572,5.91554987,2.047881,161.8954254
1997,0.131437,77.67701298,14.59888101,1.417884141,2.061735562,5.296901092,2.488876,0.755106,0.987109,2.597815,16.11752998,2.141973637,5.899781254,0.780925,132.9529677
1998,0.19765,59.34853113,16.23952595,2.009460344,2.286712036,5.720885769,2.310226,0.572108,0.665683,1.948797,22.07316949,4.697794535,14.19224729,2.205881,134.4686715
1999,0.216873,51.54528113,14.94886092,1.274133083,3.443275708,6.188247974,2.352981,1.415608,0.635762756,3.849958,20.72592814,2.522238292,5.306412631,0.739488,115.1650486
2000,0.157711,46.20800679,14.22526479,2.776000326,6.66624432,3.969557389,2.180051,1.958754,0.680249005,6.038124,23.19781191,2.168830845,3.086639052,0.637424,113.9506684
2001,0.113971,64.28357668,21.26437198,3.109440022,5.321410492,6.575483538,2.975637,1.496769,0.612993851,4.161152,12.27821475,2.626314995,6.184988928,2.715226,133.7195502
2002,0.016991,56.00690177,16.01586141,3.566120882,4.035117919,6.370516414,1.715356,1.068644,0.874413676,7.17173,10.65068568,3.053637924,6.517190867,3.552075773,120.6152433
2003,0.043802,73.51404849,14.53084088,2.066416534,2.464563323,7.781798191,1.603108,1.512482,0.569426635,6.42197371,14.06897073,4.45856962,3.905820803,2.593439768,135.5352607
2004,0.059932,77.01143152,16.94991308,2.111898477,1.997700861,6.815343822,1.976142,1.99216401,1.036268491,2.54176877,15.56086039,3.962921757,7.753731499,3.408701977,143.1787787
2005,0.036259,70.83513495,11.76850687,2.992631928,4.65719692,11.85468104,2.375707,0.87349805,0.596553123,2.65961245,12.839529,2.402661174,6.241663517,1.172071745,131.3057068
2006,0.028553,67.97570537,22.67351972,5.327537678,4.700658339,8.746057464,2.8736232,2.06642525,0.595299975,2.72929245,14.87732583,2.387522253,5.901429234,2.678543095,143.5614929
2007,0.022833,60.68480026,24.07786478,4.350114969,4.794776251,8.687822333,2.8650944,1.0968395,0.612750479,4.1243398,11.70926274,1.578654768,4.032714263,2.247001988,130.8848695
2008,0.05,48.62321687,27.56002015,3.823796031,5.157184478,7.468079893,2.3413702,1.18791875,0.576507124,5.13737554,10.54680481,0.84921278,3.487790302,1.364972195,118.1742491
2009,0.09,58.21870528,45.85918975,3.234822934,4.796982971,7.320542274,3.0959692,1.32223925,0.619462211,3.54952595,10.97898109,1.378585885,4.027747136,1.003164494,145.4959184
2010,0.08,45.26136282,43.03758217,5.07989639,4.292576123,8.890587405,1.691153,1.11016225,0.815444797,4.93200403,11.70503499,0.867456022,2.594257613,1.470267526,131.8277851
2011,0.05,39.67045915,33.50937272,5.630788468,3.772509136,11.13850771,2.473866,1.3508645,0.682552496,2.5924132,12.82520261,1.977987863,6.54841844,1.681292739,123.904235
2012,0.05,40.01352795,42.67459483,7.255312429,5.497272978,10.67665274,1.4130104,1.2929965,0.86779631,4.89583975,14.16149181,1.837014453,3.965075551,1.652132194,136.2527179
2013,0.03,47.41462955,42.79950771,6.004724248,7.379779471,10.85182799,2.5603606,1.28875075,0.695975961,4.52099731,15.02071599,1.752099684,3.928741171,2.358142467,146.6062529
2014,0.035491,40.77245693,56.23717884,7.893505593,9.774747754,10.13585651,1.3114974,0.643898,0.630276667,1.9254469,7.685014688,1.147648111,4.263747778,1.729592794,144.186359
2015,0.096515,39.62172733,62.20385243,8.174581104,6.810754131,8.609591357,2.9172282,1.317213,1.271466667,2.66693665,15.45241041,2.009804951,4.331626347,1.728903239,157.2126108
