Sample time,Sample number,Sample type,Temperature (air) [Lab: 80] [VMV: 97060],Status(0),Unit code(0),Value modifier code(0),Temperature (water) [Lab: 80] [VMV: 2061],Status(1),Unit code(1),Value modifier code(1)
1988-06-30 23:00,88PY001508,1,25,U,DEG C,,15,U,DEG C,
1988-07-26 20:30,88PY001699,1,18,U,DEG C,,14,U,DEG C,
1988-08-10 21:00,88PY001808,1,19,U,DEG C,,13,U,DEG C,
1988-08-24 16:15,88PY001867,1,14,U,DEG C,,11,U,DEG C,
1988-09-06 21:10,88PY001904,1,13,U,DEG C,,11,U,DEG C,
1988-09-21 21:05,88PY002187,1,12,U,DEG C,,7,U,DEG C,
1988-10-19 22:00,88PY002373,1,-12,U,DEG C,,0,U,DEG C,
1988-12-14 22:05,88PY002738,1,-8,U,DEG C,,0,U,DEG C,
1989-02-14 22:00,89PY000263,1,-13,U,DEG C,,0.5,U,DEG C,
1989-03-01 17:45,89PY000373,1,-8,U,DEG C,,0.5,U,DEG C,
1989-03-16 22:30,89PY000417,1,2,U,DEG C,,1,U,DEG C,
1989-03-30 19:10,89PY000459,1,-2,U,DEG C,,0.2,U,DEG C,
1989-04-13 23:05,89PY000528,1,10,U,DEG C,,0,U,DEG C,
1989-05-11 21:30,89PY000619,1,2,U,DEG C,,4,U,DEG C,
1989-06-02 17:15,89PY000718,1,,,,,12,U,DEG C,
1989-06-14 17:00,89PY000742,1,15,U,DEG C,,12,U,DEG C,
1989-06-28 16:30,89PY000792,1,17,U,DEG C,,14,U,DEG C,
1989-07-17 21:45,89PY000894,1,18,U,DEG C,,17,U,DEG C,
1989-07-27 19:20,89PY000902,1,17,U,DEG C,,16,U,DEG C,
1989-08-23 21:50,89PY001032,1,21,U,DEG C,,14,U,DEG C,
1989-09-06 23:20,89PY001084,1,18,U,DEG C,,12,U,DEG C,
1989-10-13 1:00,89PY001267,1,0,U,DEG C,,2,U,DEG C,
1989-11-01 12:30,89PY001368,1,-23,U,DEG C,,0,U,DEG C,
1989-11-29 14:00,89PY001428,1,-42,U,DEG C,,0,U,DEG C,
1989-12-20 5:10,90PY000090,1,-33,U,DEG C,,0,U,DEG C,
1990-01-04 12:30,90PY000163,1,-18,U,DEG C,,0,U,DEG C,
1990-01-17 16:20,90PY000245,1,-9,U,DEG C,,0,U,DEG C,
1990-01-31 14:10,90PY000332,1,-42,U,DEG C,,0,U,DEG C,
1990-02-22 16:00,90PY000416,1,-29,U,DEG C,,0,U,DEG C,
1990-03-07 11:45,90PY000456,1,-26,U,DEG C,,0,U,DEG C,
1990-03-21 16:38,90PY000586,1,-4,U,DEG C,,0,U,DEG C,
1990-04-04 18:40,90PY000634,1,4,U,DEG C,,1,U,DEG C,
1990-04-18 18:10,90PY000777,1,11,U,DEG C,,1,U,DEG C,
1990-05-02 17:30,90PY000878,1,15,U,DEG C,,2,U,DEG C,
1990-05-09 20:00,90PY001788,1,22,U,DEG C,,11,U,DEG C,
1990-05-16 19:00,90PY001035,1,18,U,DEG C,,7,U,DEG C,
1990-05-30 20:15,90PY001066,1,17,U,DEG C,,12,U,DEG C,
1990-06-21 16:25,90PY001292,1,13,U,DEG C,,14,U,DEG C,
1990-06-27 15:30,90PY001284,1,27,U,DEG C,,15,U,DEG C,
1990-07-25 14:15,90PY001491,1,25,U,DEG C,,16,U,DEG C,
1990-08-08 20:00,90PY001590,1,26,U,DEG C,,15,U,DEG C,
1990-08-23 16:55,90PY001687,1,21,U,DEG C,,14,U,DEG C,
1990-09-19 19:00,90PY001876,1,16,U,DEG C,,8,U,DEG C,
1990-11-19 17:00,90PY002231,1,-23.3,U,DEG C,,1,U,DEG C,
1990-12-06 16:50,91PY000055,1,-11,U,DEG C,,1,U,DEG C,
1990-12-26 13:45,92PY001432,1,19,U,DEG C,,15.5,U,DEG C,
1991-01-09 16:30,91PY000389,1,-19,U,DEG C,,1,U,DEG C,
1991-01-24 15:45,91PY000383,1,-4,U,DEG C,,1,U,DEG C,
1991-02-06 19:25,91PY000396,1,-20,U,DEG C,,1,U,DEG C,
1991-02-21 17:45,91PY000569,1,-25,U,DEG C,,1,U,DEG C,
1991-03-06 11:05,91PY000582,1,-8,U,DEG C,,2,U,DEG C,
1991-03-20 18:05,91PY000591,1,-7,U,DEG C,,2,U,DEG C,
1991-04-03 13:30,91PY001569,1,3,U,DEG C,,1,U,DEG C,
1991-04-17 20:05,91PY001576,1,11,U,DEG C,,2,U,DEG C,
1991-05-16 17:35,91PY001550,1,,,,,9,U,DEG C,
1991-06-19 13:00,91PY001570,1,21,U,DEG C,,13,U,DEG C,
1991-07-03 14:54,91PY001303,1,21,U,DEG C,,12,U,DEG C,
1991-07-18 12:50,91PY001304,1,14,U,DEG C,,16,U,DEG C,
1991-08-01 19:40,91PY001311,1,20,U,DEG C,,15,U,DEG C,
1991-08-15 17:55,91PY001384,1,14,U,DEG C,,15,U,DEG C,
1991-08-28 15:30,91PY001533,1,11,U,DEG C,,9,U,DEG C,
1991-09-12 15:05,91PY001689,1,8,U,DEG C,,10,U,DEG C,
1991-09-25 19:00,91PY001719,1,11,U,DEG C,,8,U,DEG C,
1992-01-10 18:00,92PY000204,1,-8,U,DEG C,,1,U,DEG C,
1992-01-29 15:00,92PY000340,1,-20,U,DEG C,,0,U,DEG C,
1992-02-19 15:30,92PY000522,1,-32,U,DEG C,,-0.5,U,DEG C,
1992-03-04 15:30,92PY000723,1,-30,U,DEG C,,0.5,U,DEG C,
1992-03-18 17:20,92PY000730,1,5,U,DEG C,,0,U,DEG C,
1992-04-02 12:40,92PY000718,1,-4,U,DEG C,,0.5,U,DEG C,
1992-06-03 20:00,92PY001103,1,17,U,DEG C,,9,U,DEG C,
1992-06-25 18:30,92PY001195,1,12,U,DEG C,,17,U,DEG C,
1992-07-08 14:40,92PY001268,1,24,U,DEG C,,13,U,DEG C,
1992-08-05 15:30,92PY001438,1,20,U,DEG C,,14,U,DEG C,
