"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha[1]",1.70500965273423,0.185979963788392,1.33680088811235,1.58313614025833,1.70567066275287,1.82775946772204,2.06593022473258,1.00110793381922,5600
"alpha[2]",2.16619844287287,0.284046231941086,1.59530924600442,1.97760846126626,2.16848678861472,2.3535270534019,2.72807143345768,1.00107659388811,6000
"alpha[3]",2.08323083800826,0.256647126037724,1.59014859376608,1.91129615440273,2.07978717286655,2.25720091032341,2.58337347786562,1.00082578800956,6000
"alpha[4]",1.32940342166283,0.241851004779688,0.872006637696191,1.16338106932279,1.32442373940601,1.49449396493019,1.8126063442248,1.00116751558002,4800
"alpha[5]",0.950506455952832,0.173742240573078,0.622377165982498,0.828766092701078,0.94892581973378,1.06542482877162,1.29294224536583,1.00107619794078,6000
"alpha[6]",1.2934424060086,0.206836627362034,0.877064627748073,1.16028761580304,1.29668137703397,1.43175332084673,1.69728754466621,1.00311793358636,850
"alpha[7]",1.46228832899194,0.318412676404165,0.839180212478493,1.25298542783523,1.4607728184199,1.67881033702839,2.09968575868176,1.00128225043109,5400
"alpha[8]",1.75096219904967,0.276719515365256,1.20254044595884,1.56487974906547,1.75386212185776,1.93635467386277,2.28591318186082,1.00123720452516,4100
"beta[1]",0.105291630790779,0.0242268237465661,0.0580158183833406,0.0894099929190319,0.105315678851572,0.121139203503054,0.154016558867442,1.00113861757319,5100
"beta[2]",0.153286115883503,0.0311126582637494,0.0911524157795116,0.132367170357285,0.153297803870155,0.174351600917015,0.213905889766159,1.00121199735186,4300
"beta[3]",0.0970785486377984,0.0167440643265,0.0635691948306513,0.085989242749843,0.0969134772685272,0.107973768495437,0.130014423318242,1.00122290445139,4200
"beta[4]",0.0776773299327794,0.0293504690041425,0.0211865346316424,0.057535913399569,0.0768902218131784,0.0973778809321433,0.136988178838387,1.00122399860345,4200
"beta[5]",0.0931057311682607,0.0350106462830389,0.024610693203417,0.0694606026195973,0.0924613912019626,0.116654715269156,0.162838080260505,1.00583726136407,1200
"beta[6]",0.119293890754022,0.0274527634046281,0.0633773542198277,0.101731656388719,0.119886309070334,0.137309275469353,0.172956322221913,1.0032568727957,1600
"beta[7]",0.23881182619946,0.0472775282632005,0.141862167810291,0.208560023542011,0.239816688649417,0.270671708522767,0.327267892682689,1.00278236456362,2400
"beta[8]",0.169069076423684,0.0471141469238306,0.0748552615339118,0.137455290637141,0.170331433330438,0.20095252731409,0.258607017816045,1.00088419432706,6000
"coef[1,1]",-0.094346072782132,0.0524138268870278,-0.196573207105999,-0.126956119476867,-0.0951405922941683,-0.0611342686472002,0.0105757572047221,1.00178203206373,1900
"coef[2,1]",-0.0903760435506855,0.0614445288900324,-0.207722111592504,-0.128273327240116,-0.0927381985191922,-0.054368301310917,0.0387345508117519,1.00115616199321,4900
"coef[3,1]",-0.114008321307343,0.0633937610183063,-0.257013145985514,-0.148575439380822,-0.109020536818006,-0.0737272388598017,-0.000518234213931217,1.00109779498999,5700
"coef[4,1]",-0.0847740570508979,0.0522251070013334,-0.181986780513463,-0.119185322888389,-0.0865587890181462,-0.053623680998251,0.0254752057655634,1.00260151428882,1100
"coef[5,1]",-0.101657561240159,0.0542956157712317,-0.213271881559873,-0.134688331499668,-0.101056446625272,-0.0671946052577282,0.0035338208633278,1.00232950437975,1300
"coef[6,1]",-0.097079592023284,0.0517627768760444,-0.201135981669532,-0.129977474090381,-0.09727995533508,-0.0639170054375815,0.00358436411391228,1.00138287827115,3200
"coef[7,1]",-0.121542013782296,0.0667708608001148,-0.278516783371476,-0.156145812885271,-0.113922032788674,-0.0784675042528847,-0.00828936365514956,1.00271295914168,1000
"coef[8,1]",-0.0947806008082222,0.056850688896943,-0.207914060408134,-0.131151212285545,-0.0960515075556632,-0.0599799922010611,0.0199950608402825,1.00117044425195,4700
"coef[1,2]",-0.0784023233247885,0.0653381227659502,-0.191038919924478,-0.122950549933636,-0.0849163321708228,-0.039446059416288,0.06331712742192,1.00103104981373,6000
"coef[2,2]",-0.153418789620143,0.0788607672339957,-0.339786228409892,-0.194553301784585,-0.143181102650502,-0.101055040775754,-0.0255485589026667,1.00241431436926,1200
