"","year","gear","region_name","Fish.Age","count","age_count","age_prop","Population"
"26",1986,"Fish Wheel","Yukon Pelly",6,9,5,0.555555556,"Pelly"
"27",1986,"Fish Wheel","Yukon Pelly",7,9,3,0.333333333,"Pelly"
"28",1986,"Fish Wheel","Yukon Stewart",5,1,1,1,"Stewart"
"29",1986,"Fish Wheel","Yukon Teslin",5,14,3,0.214285714,"Teslin"
"30",1986,"Fish Wheel","Yukon Teslin",6,14,8,0.571428571,"Teslin"
"31",1986,"Fish Wheel","Yukon Teslin",7,14,3,0.214285714,"Teslin"
"32",1986,"Fish Wheel","Yukon upper",5,2,1,0.5,"Upper Lakes and Mainstem"
"33",1986,"Fish Wheel","Yukon upper",6,2,1,0.5,"Upper Lakes and Mainstem"
"34",1986,"Fish Wheel","Yukon White-Donjek",5,3,1,0.333333333,"White-Donjek"
"35",1986,"Fish Wheel","Yukon White-Donjek",6,3,1,0.333333333,"White-Donjek"
"36",1986,"Fish Wheel","Yukon White-Donjek",7,3,1,0.333333333,"White-Donjek"
"37",1986,NA,NA,4,NA,NA,0.003265611,"Aggregate"
"38",1986,NA,NA,5,NA,NA,0.08933687,"Aggregate"
"39",1986,NA,NA,6,NA,NA,0.5919204,"Aggregate"
"40",1986,NA,NA,7,NA,NA,0.31547709,"Aggregate"
"41",1987,"Fish Wheel","Yukon Carmacks",5,4,1,0.25,"Carmacks"
"42",1987,"Fish Wheel","Yukon Carmacks",6,4,3,0.75,"Carmacks"
"43",1987,"Fish Wheel","Yukon Lower Canadian",6,3,3,1,"Lower Mainstem"
"44",1987,"Fish Wheel","Yukon mainstem",5,4,1,0.25,"Middle Mainstem"
