,year,Population,age_4,age_5,age_6,age_7,year_4,year_5,year_6,year_7,S_med,S_med_total,popn_prop,,,Population,year,Age_4,Age_5,Age_6,Age_7,,x,j,j,j
189,1998,Stewart,380.3282447,3393.929385,3106.224624,880.9425065,NA,NA,NA,NA,7.76142476,40.11777977,0.19346596,,,Stewart,1998,380.3282447,3393.929385,3106.224624,880.9425065,,0,0,-5.00222E-12,0
224,1998,Teslin,354.7760806,3165.909925,2897.534466,821.756822,NA,NA,NA,NA,7.239977295,40.11777977,0.180468045,,,Teslin,1998,354.7760806,3165.909925,2897.534466,821.756822,,0,4.09273E-12,0,0
259,1998,Upper Lakes and Mainstem,51.53309045,459.865057,420.882111,119.3644976,NA,NA,NA,NA,1.051644756,40.11777977,0.026213932,,,Upper Lakes and Mainstem,1998,51.53309045,459.865057,420.882111,119.3644976,,0,0,0,-1.7053E-13
294,1998,White-Donjek,293.0623323,2615.195887,2393.504678,678.8111826,NA,NA,NA,NA,5.98057408,40.11777977,0.1490754,,,White-Donjek,1998,293.0623323,2615.195887,2393.504678,678.8111826,,-4.54747E-13,4.54747E-12,0,0
15,1999,Aggregate,495.6475718,6039.990295,26799.01269,699.1568394,1995,1994,1993,1992,NA,NA,NA,,,Aggregate,1999,495.6475718,6039.990295,26799.01269,699.1568394,,0,0,-4.36557E-11,0
50,1999,Carmacks,400.1815634,3601.634071,900.4085177,0,1995,1994,1993,1992,4.902224152,34.0338074,0.144039839,,,Carmacks,1999,400.1815634,3601.634071,900.4085177,0,,0,0,0,0
85,1999,Lower Mainstem,3577.665236,2012.436695,0,0,1995,1994,1993,1992,5.590101931,34.0338074,0.164251442,,,Lower Mainstem,1999,3577.665236,2012.436695,0,0,,-4.54747E-12,4.54747E-12,0,0
120,1999,Middle Mainstem,0,1850.678805,3290.095653,0,1995,1994,1993,1992,5.140774458,34.0338074,0.151049055,,,Middle Mainstem,1999,0,1850.678805,3290.095653,0,,0,2.72848E-12,0,0
155,1999,Pelly,212.0762221,477.1714996,4294.543497,53.01905551,1995,1994,1993,1992,5.036810274,34.0338074,0.147994323,,,Pelly,1999,212.0762221,477.1714996,4294.543497,53.01905551,,3.97904E-13,0,0,0
190,1999,Stewart,1566.658982,391.6647455,391.6647455,0,1995,1994,1993,1992,2.349988473,34.0338074,0.069048651,,,Stewart,1999,1566.658982,391.6647455,391.6647455,0,,3.63798E-12,0,0,0
225,1999,Teslin,236.0451401,944.1805606,2622.723779,0,1995,1994,1993,1992,3.80294948,34.0338074,0.111740348,,,Teslin,1999,236.0451401,944.1805606,2622.723779,0,,-4.54747E-13,0,-4.54747E-12,0
260,1999,Upper Lakes and Mainstem,748.4581031,2993.832412,187.1145258,0,1995,1994,1993,1992,3.929405041,34.0338074,0.115455935,,,Upper Lakes and Mainstem,1999,748.4581031,2993.832412,187.1145258,0,,0,0,0,0
295,1999,White-Donjek,0,328.1553586,2953.398227,0,1995,1994,1993,1992,3.281553586,34.0338074,0.096420408,,,White-Donjek,1999,0,328.1553586,2953.398227,0,,0,0,0,0
16,2000,Aggregate,2704.979329,10828.54574,22755.85969,5978.605897,1996,1995,1994,1993,NA,NA,NA,,,Aggregate,2000,2704.979329,10828.54574,22755.85969,5978.605897,,-4.54747E-12,4.18368E-11,0,0
51,2000,Carmacks,1304.546003,2935.228508,1304.546003,326.1365008,1996,1995,1994,1993,5.870457015,42.26799065,0.138886588,,,Carmacks,2000,1304.546003,2935.228508,1304.546003,326.1365008,,0,0,0,0
86,2000,Lower Mainstem,4133.554442,258.3471526,2325.124373,0,1996,1995,1994,1993,6.717025968,42.26799065,0.158915195,,,Lower Mainstem,2000,4133.554442,258.3471526,2325.124373,0,,0,0,-4.54747E-12,0
121,2000,Middle Mainstem,64.45008868,9280.81277,580.0507981,64.45008868,1996,1995,1994,1993,9.989763746,42.26799065,0.236343474,,,Middle Mainstem,2000,64.45008868,9280.81277,580.0507981,64.45008868,,0,0,0,0
156,2000,Pelly,952.0609732,2437.276091,2437.276091,0,1996,1995,1994,1993,5.826613156,42.26799065,0.137849305,,,Pelly,2000,952.0609732,2437.276091,2437.276091,0,,0,0,0,0
191,2000,Stewart,0,0,1965.811338,0,1996,1995,1994,1993,1.965811338,42.26799065,0.046508275,,,Stewart,2000,0,0,1965.811338,0,,0,0,0,0
226,2000,Teslin,516.0079407,1671.865728,1320.980328,82.56127051,1996,1995,1994,1993,3.591415267,42.26799065,0.084967731,,,Teslin,2000,516.0079407,1671.865728,1320.980328,82.56127051,,0,-2.27374E-12,3.41061E-12,0
261,2000,Upper Lakes and Mainstem,0,1914.864944,1914.864944,0,1996,1995,1994,1993,3.829729887,42.26799065,0.090605913,,,Upper Lakes and Mainstem,2000,0,1914.864944,1914.864944,0,,0,0,0,0
296,2000,White-Donjek,198.9855233,2437.57266,1790.86971,49.74638083,1996,1995,1994,1993,4.477174274,42.26799065,0.105923518,,,White-Donjek,2000,198.9855233,2437.57266,1790.86971,49.74638083,,4.26326E-13,0,3.86535E-12,0
17,2001,Aggregate,1615.293481,21082.17773,51217.15165,10488.96779,1997,1996,1995,1994,NA,NA,NA,,,Aggregate,2001,1615.293481,21082.17773,51217.15165,10488.96779,,-4.77485E-12,0,0,-4.91127E-11
52,2001,Carmacks,80.13006328,1045.826195,2540.735569,520.327521,NA,NA,NA,NA,4.187019348,84.40359065,0.049607124,,,Carmacks,2001,80.13006328,1045.826195,2540.735569,520.327521,,0,3.18323E-12,0,0
87,2001,Lower Mainstem,138.1685278,1803.321497,4380.998574,897.2024305,NA,NA,NA,NA,7.219691029,84.40359065,0.085537724,,,Lower Mainstem,2001,138.1685278,1803.321497,4380.998574,897.2024305,,0,2.72848E-12,0,0
122,2001,Middle Mainstem,581.288247,7586.74648,18431.28115,3774.616669,NA,NA,NA,NA,30.37393255,84.40359065,0.359865408,,,Middle Mainstem,2001,581.288247,7586.74648,18431.28115,3774.616669,,0,0,0,0
157,2001,Pelly,143.5467315,1873.515705,4551.528747,932.1259947,NA,NA,NA,NA,7.500717178,84.40359065,0.088867276,,,Pelly,2001,143.5467315,1873.515705,4551.528747,932.1259947,,3.69482E-13,0,0,0
192,2001,Stewart,62.62811944,817.3976803,1985.790154,406.6780032,NA,NA,NA,NA,3.272493957,84.40359065,0.038771976,,,Stewart,2001,62.62811944,817.3976803,1985.790154,406.6780032,,0,0,1.81899E-12,0
227,2001,Teslin,284.5394623,3713.697594,9022.076148,1847.667492,NA,NA,NA,NA,14.8679807,84.40359065,0.176153415,,,Teslin,2001,284.5394623,3713.697594,9022.076148,1847.667492,,0,0,0,-1.81899E-12
262,2001,Upper Lakes and Mainstem,233.4599899,3047.02833,7402.46639,1515.981054,NA,NA,NA,NA,12.19893576,84.40359065,0.144531005,,,Upper Lakes and Mainstem,2001,233.4599899,3047.02833,7402.46639,1515.981054,,0,0,0,-3.41061E-12
297,2001,White-Donjek,91.53234025,1194.644247,2902.274915,594.368627,NA,NA,NA,NA,4.782820129,84.40359065,0.056666074,,,White-Donjek,2001,91.53234025,1194.644247,2902.274915,594.368627,,0,-3.18323E-12,0,0
18,2002,Aggregate,4186.618829,13869.47475,29352.58741,7858.646238,1998,1997,1996,1995,NA,NA,NA,,,Aggregate,2002,4186.618829,13869.47475,29352.58741,7858.646238,,0,4.36557E-11,0,0
53,2002,Carmacks,268.6967119,4299.14739,604.5676018,67.17417798,1998,1997,1996,1995,5.239585882,55.26732722,0.094804402,,,Carmacks,2002,268.6967119,4299.14739,604.5676018,67.17417798,,0,0,0,0
88,2002,Lower Mainstem,1552.098526,6208.394104,558.7554694,0,1998,1997,1996,1995,8.3192481,55.26732722,0.150527419,,,Lower Mainstem,2002,1552.098526,6208.394104,558.7554694,0,,0,0,0,0
123,2002,Middle Mainstem,16589.37911,7373.057383,819.2285981,0,1998,1997,1996,1995,24.78166509,55.26732722,0.448396301,,,Middle Mainstem,2002,16589.37911,7373.057383,819.2285981,0,,4.72937E-11,0,0,0
158,2002,Pelly,2270.54077,3090.45827,0,0,1998,1997,1996,1995,5.360999041,55.26732722,0.097001236,,,Pelly,2002,2270.54077,3090.45827,0,0,,0,0,0,0
193,2002,Stewart,1009.985267,1009.985267,646.390571,0,1998,1997,1996,1995,2.666361105,55.26732722,0.048244799,,,Stewart,2002,1009.985267,1009.985267,646.390571,0,,-1.47793E-12,-1.47793E-12,0,0
228,2002,Teslin,1696.170267,700.9683248,553.8515159,34.61571974,1998,1997,1996,1995,2.985605828,55.26732722,0.054021173,,,Teslin,2002,1696.170267,700.9683248,553.8515159,34.61571974,,0,0,0,0
263,2002,Upper Lakes and Mainstem,1687.108598,0,1687.108598,0,1998,1997,1996,1995,3.374217197,55.26732722,0.061052657,,,Upper Lakes and Mainstem,2002,1687.108598,0,1687.108598,0,,5.00222E-12,0,5.00222E-12,0
298,2002,White-Donjek,0,2539.64498,0,0,1998,1997,1996,1995,2.53964498,55.26732722,0.045952014,,,White-Donjek,2002,0,2539.64498,0,0,,0,0,0,0
19,2003,Aggregate,775.3435347,19048.26967,41546.96576,4673.119108,1999,1998,1997,1996,NA,NA,NA,,,Aggregate,2003,775.3435347,19048.26967,41546.96576,4673.119108,,0,4.36557E-11,0,0
54,2003,Carmacks,39.0149851,2496.959047,4720.813197,0,1999,1998,1997,1996,7.256787229,66.04369807,0.109878572,,,Carmacks,2003,39.0149851,2496.959047,4720.813197,0,,0,0,0,0
89,2003,Lower Mainstem,1417.02013,8162.035948,5668.080519,0,1999,1998,1997,1996,15.2471366,66.04369807,0.230864368,,,Lower Mainstem,2003,1417.02013,8162.035948,5668.080519,0,,-4.77485E-12,0,0,0
124,2003,Middle Mainstem,785.489163,7069.402467,3141.956652,0,1999,1998,1997,1996,10.99684828,66.04369807,0.166508669,,,Middle Mainstem,2003,785.489163,7069.402467,3141.956652,0,,0,0,-4.09273E-12,0
159,2003,Pelly,103.9877035,8423.00398,3743.557324,103.9877035,1999,1998,1997,1996,12.37453671,66.04369807,0.187368925,,,Pelly,2003,103.9877035,8423.00398,3743.557324,103.9877035,,2.13163E-13,0,4.09273E-12,2.13163E-13
194,2003,Stewart,108.2638892,2706.59723,433.0555567,0,1999,1998,1997,1996,3.247916675,66.04369807,0.049178298,,,Stewart,2003,108.2638892,2706.59723,433.0555567,0,,3.2685E-13,0,0,0
229,2003,Teslin,189.3914787,3030.26366,757.5659149,47.34786968,1999,1998,1997,1996,4.024568923,66.04369807,0.06093797,,,Teslin,2003,189.3914787,3030.26366,757.5659149,47.34786968,,3.69482E-13,0,0,0
264,2003,Upper Lakes and Mainstem,1005.278792,4021.115167,0,0,1999,1998,1997,1996,5.026393959,66.04369807,0.076107094,,,Upper Lakes and Mainstem,2003,1005.278792,4021.115167,0,0,,-4.77485E-12,4.54747E-12,0,0
299,2003,White-Donjek,0,6899.296173,970.2135243,0,1999,1998,1997,1996,7.869509697,66.04369807,0.119156103,,,White-Donjek,2003,0,6899.296173,970.2135243,0,,0,0,0,0
20,2004,Aggregate,2782.66227,11643.09417,40228.94564,3006.301103,2000,1999,1998,1997,NA,NA,NA,,,Aggregate,2004,2782.66227,11643.09417,40228.94564,3006.301103,,0,2.54659E-11,0,0
55,2004,Carmacks,776.8747455,2379.178908,2379.178908,48.55467159,2000,1999,1998,1997,5.583787233,57.66100319,0.096838191,,,Carmacks,2004,776.8747455,2379.178908,2379.178908,48.55467159,,0,4.54747E-12,4.54747E-12,0
90,2004,Lower Mainstem,870.0491975,9189.894649,1359.451871,0,2000,1999,1998,1997,11.41939572,57.66100319,0.198043653,,,Lower Mainstem,2004,870.0491975,9189.894649,1359.451871,0,,0,0,0,0
125,2004,Middle Mainstem,1485.504818,9284.405114,3342.385841,0,2000,1999,1998,1997,14.11229577,57.66100319,0.244745929,,,Middle Mainstem,2004,1485.504818,9284.405114,3342.385841,0,,2.50111E-12,0,0,0
160,2004,Pelly,2592.534108,2592.534108,3386.166998,211.6354374,2000,1999,1998,1997,8.782870651,57.66100319,0.152319075,,,Pelly,2004,2592.534108,2592.534108,3386.166998,211.6354374,,0,0,-4.09273E-12,0
195,2004,Stewart,287.7391902,1798.369939,1798.369939,0,2000,1999,1998,1997,3.884479067,57.66100319,0.067367525,,,Stewart,2004,287.7391902,1798.369939,1798.369939,0,,0,-5.00222E-12,-5.00222E-12,0
230,2004,Teslin,1155.749105,2358.671642,377.3874628,23.58671642,2000,1999,1998,1997,3.915394926,57.66100319,0.067903691,,,Teslin,2004,1155.749105,2358.671642,377.3874628,23.58671642,,0,0,0,0
265,2004,Upper Lakes and Mainstem,1348.88094,0,5395.523758,0,2000,1999,1998,1997,6.744404698,57.66100319,0.116966482,,,Upper Lakes and Mainstem,2004,1348.88094,0,5395.523758,0,,3.63798E-12,0,0,0
300,2004,White-Donjek,804.5937801,2234.982722,89.3993089,89.3993089,2000,1999,1998,1997,3.21837512,57.66100319,0.055815455,,,White-Donjek,2004,804.5937801,2234.982722,89.3993089,89.3993089,,0,0,0,0
21,2005,Aggregate,1513.835363,21636.29073,41710.6416,4026.056705,2001,2000,1999,1998,NA,NA,NA,,,Aggregate,2005,1513.835363,21636.29073,41710.6416,4026.056705,,2.95586E-12,4.36557E-11,0,0
56,2005,Carmacks,1827.865019,1827.865019,7311.460075,0,2001,2000,1999,1998,10.96719011,68.8868244,0.159205918,,,Carmacks,2005,1827.865019,1827.865019,7311.460075,0,,3.41061E-12,3.41061E-12,0,0
91,2005,Lower Mainstem,1519.704036,379.9260091,9498.150227,0,2001,2000,1999,1998,11.39778027,68.8868244,0.165456608,,,Lower Mainstem,2005,1519.704036,379.9260091,9498.150227,0,,3.41061E-12,0,0,0
126,2005,Middle Mainstem,310.5853714,4439.000141,8557.545573,826.0041662,NA,NA,NA,NA,14.13313525,68.8868244,0.205164563,,,Middle Mainstem,2005,310.5853714,4439.000141,8557.545573,826.0041662,,0,0,0,0
161,2005,Pelly,0,6766.076988,1691.519247,0,2001,2000,1999,1998,8.457596235,68.8868244,0.122775238,,,Pelly,2005,0,6766.076988,1691.519247,0,,0,0,0,0
196,2005,Stewart,66.59832574,951.8477192,1834.980846,177.1187557,NA,NA,NA,NA,3.030545647,68.8868244,0.04399311,,,Stewart,2005,66.59832574,951.8477192,1834.980846,177.1187557,,0,0,0,-2.55795E-13
231,2005,Teslin,1392.795244,1392.795244,5571.180977,0,2001,2000,1999,1998,8.356771466,68.8868244,0.121311608,,,Teslin,2005,1392.795244,1392.795244,5571.180977,0,,0,0,0,0
266,2005,Upper Lakes and Mainstem,0,2831.068812,2831.068812,0,2001,2000,1999,1998,5.662137624,68.8868244,0.082194784,,,Upper Lakes and Mainstem,2005,0,2831.068812,2831.068812,0,,0,5.00222E-12,5.00222E-12,0
301,2005,White-Donjek,0,3440.833895,3440.833895,0,2001,2000,1999,1998,6.88166779,68.8868244,0.099898171,,,White-Donjek,2005,0,3440.833895,3440.833895,0,,0,5.00222E-12,5.00222E-12,0
22,2006,Aggregate,3036.20924,32862.9404,27644.12421,686.0591759,2002,2001,2000,1999,NA,NA,NA,,,Aggregate,2006,3036.20924,32862.9404,27644.12421,686.0591759,,-3.63798E-12,0,0,0
57,2006,Carmacks,851.1155292,9212.197415,7749.249655,192.3173182,NA,NA,NA,NA,18.00487992,64.22933303,0.280321764,,,Carmacks,2006,851.1155292,9212.197415,7749.249655,192.3173182,,0,0,0,-4.54747E-13
92,2006,Lower Mainstem,7149.470548,7149.470548,0,0,2002,2001,2000,1999,14.2989411,64.22933303,0.222623222,,,Lower Mainstem,2006,7149.470548,7149.470548,0,0,,0,0,0,0
127,2006,Middle Mainstem,0,0,6670.056574,0,2002,2001,2000,1999,6.670056574,64.22933303,0.103847514,,,Middle Mainstem,2006,0,0,6670.056574,0,,0,0,0,0
162,2006,Pelly,12883.694,0,0,0,2002,2001,2000,1999,12.883694,64.22933303,0.200588943,,,Pelly,2006,12883.694,0,0,0,,0,0,0,0
197,2006,Stewart,771.7251221,771.7251221,0,0,2002,2001,2000,1999,1.543450244,64.22933303,0.024030302,,,Stewart,2006,771.7251221,771.7251221,0,0,,0,0,0,0
232,2006,Teslin,0,928.1913417,3712.765367,0,2002,2001,2000,1999,4.640956708,64.22933303,0.072256031,,,Teslin,2006,0,928.1913417,3712.765367,0,,0,0,0,0
267,2006,Upper Lakes and Mainstem,106.9720388,1157.830524,973.9606509,24.17130803,NA,NA,NA,NA,2.262934522,64.22933303,0.035232104,,,Upper Lakes and Mainstem,2006,106.9720388,1157.830524,973.9606509,24.17130803,,3.12639E-13,4.3201E-12,0,-4.26326E-14
302,2006,White-Donjek,185.5127492,2007.929605,1689.059309,41.91829803,NA,NA,NA,NA,3.924419961,64.22933303,0.06110012,,,White-Donjek,2006,185.5127492,2007.929605,1689.059309,41.91829803,,-3.41061E-13,2.50111E-12,2.04636E-12,0
23,2007,Aggregate,2075.725867,14718.78349,19719.39555,188.7023449,2003,2002,2001,2000,NA,NA,NA,,,Aggregate,2007,2075.725867,14718.78349,19719.39555,188.7023449,,-3.63798E-12,-4.54747E-11,0,-4.54747E-13
58,2007,Carmacks,1764.269299,1764.269299,1764.269299,0,2003,2002,2001,2000,5.292807898,36.70260726,0.144207954,,,Carmacks,2007,1764.269299,1764.269299,1764.269299,0,,3.18323E-12,3.18323E-12,3.18323E-12,0
93,2007,Lower Mainstem,254.6318058,1805.570995,2419.002132,23.14834516,NA,NA,NA,NA,4.502353278,36.70260726,0.122671211,,,Lower Mainstem,2007,254.6318058,1805.570995,2419.002132,23.14834516,,4.26326E-13,-3.63798E-12,0,0
128,2007,Middle Mainstem,126.2249639,895.0497482,1199.137146,11.47499631,NA,NA,NA,NA,2.231886854,36.70260726,0.060810036,,,Middle Mainstem,2007,126.2249639,895.0497482,1199.137146,11.47499631,,-3.2685E-13,0,0,0
163,2007,Pelly,8806.719604,0,0,0,2003,2002,2001,2000,8.806719604,36.70260726,0.239948065,,,Pelly,2007,8806.719604,0,0,0,,0,0,0,0
198,2007,Stewart,130.9541684,928.5841073,1244.064588,11.90492398,NA,NA,NA,NA,2.315507788,36.70260726,0.063088373,,,Stewart,2007,130.9541684,928.5841073,1244.064588,11.90492398,,3.12639E-13,0,1.81899E-12,3.37508E-14
233,2007,Teslin,0,6446.006863,0,0,2003,2002,2001,2000,6.446006863,36.70260726,0.175628037,,,Teslin,2007,0,6446.006863,0,0,,0,0,0,0
268,2007,Upper Lakes and Mainstem,71.89969533,509.8342056,683.0470993,6.536335708,NA,NA,NA,NA,1.271317336,36.70260726,0.034638339,,,Upper Lakes and Mainstem,2007,71.89969533,509.8342056,683.0470993,6.536335708,,0,0,0,0
303,2007,White-Donjek,0,2918.003817,0,2918.003817,2003,2002,2001,2000,5.836007634,36.70260726,0.159007985,,,White-Donjek,2007,0,2918.003817,0,2918.003817,,0,0,0,0
24,2008,Aggregate,1006.437495,21235.83101,13788.19339,1710.943708,2004,2003,2002,2001,NA,NA,NA,,,Aggregate,2008,1006.437495,21235.83101,13788.19339,1710.943708,,-3.75167E-12,0,0,5.00222E-12
59,2008,Carmacks,34.46129352,3446.129352,2791.364775,34.46129352,2004,2003,2002,2001,6.306416715,37.74140561,0.167095438,,,Carmacks,2008,34.46129352,3446.129352,2791.364775,34.46129352,,0,0,0,0
94,2008,Lower Mainstem,0,4093.29353,541.2619544,0,2004,2003,2002,2001,4.634555484,37.74140561,0.122797639,,,Lower Mainstem,2008,0,4093.29353,541.2619544,0,,0,0,0,0
129,2008,Middle Mainstem,11.26469699,3855.342546,3255.497431,25.34556824,2004,2003,2002,2001,7.147450243,37.74140561,0.189379546,,,Middle Mainstem,2008,11.26469699,3855.342546,3255.497431,25.34556824,,-3.19744E-14,0,0,-4.61853E-14
164,2008,Pelly,0,3256.1353,931.5822465,15.84922537,2004,2003,2002,2001,4.203566772,37.74140561,0.111378119,,,Pelly,2008,0,3256.1353,931.5822465,15.84922537,,0,0,0,4.08562E-14
199,2008,Stewart,0,1838.968625,567.5829089,0,2004,2003,2002,2001,2.406551534,37.74140561,0.063764226,,,Stewart,2008,0,1838.968625,567.5829089,0,,0,3.86535E-12,0,0
234,2008,Teslin,0,3578.690232,3578.690232,362.305416,2004,2003,2002,2001,7.519685879,37.74140561,0.199242338,,,Teslin,2008,0,3578.690232,3578.690232,362.305416,,0,-4.09273E-12,-4.09273E-12,0
269,2008,Upper Lakes and Mainstem,0,3737.5928,0,0,2004,2003,2002,2001,3.7375928,37.74140561,0.099031627,,,Upper Lakes and Mainstem,2008,0,3737.5928,0,0,,0,0,0,0
304,2008,White-Donjek,0,1602.575963,178.0639959,4.946222108,2004,2003,2002,2001,1.785586181,37.74140561,0.047311067,,,White-Donjek,2008,0,1602.575963,178.0639959,4.946222108,,0,2.72848E-12,-3.41061E-13,0
25,2009,Aggregate,4923.75322,21172.13898,37617.47442,0,2005,2004,2003,2002,NA,NA,NA,,,Aggregate,2009,4923.75322,21172.13898,37617.47442,0,,0,3.27418E-11,0,0
60,2009,Carmacks,63.36391871,1987.092491,11040.5292,0,2005,2004,2003,2002,13.0909856,63.71336662,0.205466864,,,Carmacks,2009,63.36391871,1987.092491,11040.5292,0,,0,-3.86535E-12,-4.18368E-11,0
95,2009,Lower Mainstem,61.51348654,753.5402102,6781.861892,0,2005,2004,2003,2002,7.596915588,63.71336662,0.119235821,,,Lower Mainstem,2009,61.51348654,753.5402102,6781.861892,0,,0,0,0,0
130,2009,Middle Mainstem,449.6763133,4047.08682,1011.771705,0,2005,2004,2003,2002,5.508534838,63.71336662,0.086458072,,,Middle Mainstem,2009,449.6763133,4047.08682,1011.771705,0,,0,0,2.27374E-12,0
165,2009,Pelly,203.171617,3022.696097,10159.61744,0,2005,2004,2003,2002,13.38548515,63.71336662,0.21008912,,,Pelly,2009,203.171617,3022.696097,10159.61744,0,,0,0,0,0
200,2009,Stewart,110.2195488,1763.512781,3214.002043,0,2005,2004,2003,2002,5.087734373,63.71336662,0.079853485,,,Stewart,2009,110.2195488,1763.512781,3214.002043,0,,-2.55795E-13,-5.22959E-12,0,0
235,2009,Teslin,202.3589385,3363.468984,8448.785031,0,2005,2004,2003,2002,12.01461295,63.71336662,0.188572879,,,Teslin,2009,202.3589385,3363.468984,8448.785031,0,,0,0,0,0
270,2009,Upper Lakes and Mainstem,18.55001718,1187.201099,296.8002748,0,2005,2004,2003,2002,1.502551391,63.71336662,0.023582985,,,Upper Lakes and Mainstem,2009,18.55001718,1187.201099,296.8002748,0,,0,2.50111E-12,0,0
305,2009,White-Donjek,7.112672734,711.2672734,4808.166768,0,2005,2004,2003,2002,5.526546714,63.71336662,0.086740774,,,White-Donjek,2009,7.112672734,711.2672734,4808.166768,0,,0,0,0,0
26,2010,Aggregate,2391.33203,14921.91171,13487.11272,1339.145946,2006,2005,2004,2003,NA,NA,NA,,,Aggregate,2010,2391.33203,14921.91171,13487.11272,1339.145946,,0,2.00089E-11,3.45608E-11,-3.63798E-12
61,2010,Carmacks,72.07734587,2180.339713,3284.024071,18.01933647,2006,2005,2004,2003,5.554460466,32.13950241,0.172823474,,,Carmacks,2010,72.07734587,2180.339713,3284.024071,18.01933647,,0,0,3.63798E-12,2.84217E-14
96,2010,Lower Mainstem,214.4357755,3430.972408,214.4357755,0,2006,2005,2004,2003,3.859843959,32.13950241,0.120096569,,,Lower Mainstem,2010,214.4357755,3430.972408,214.4357755,0,,-3.69482E-13,3.63798E-12,-3.69482E-13,0
131,2010,Middle Mainstem,345.8846521,7004.164206,345.8846521,0,2006,2005,2004,2003,7.69593351,32.13950241,0.239454034,,,Middle Mainstem,2010,345.8846521,7004.164206,345.8846521,0,,0,0,0,0
166,2010,Pelly,15.61166889,2638.372042,1264.54518,15.61166889,2006,2005,2004,2003,3.93414056,32.13950241,0.12240826,,,Pelly,2010,15.61166889,2638.372042,1264.54518,15.61166889,,5.15143E-14,0,5.22959E-12,5.15143E-14
201,2010,Stewart,31.0976069,1382.115862,497.5617103,13.82115862,2006,2005,2004,2003,1.924596338,32.13950241,0.05988258,,,Stewart,2010,31.0976069,1382.115862,497.5617103,13.82115862,,2.84217E-14,0,0,0
236,2010,Teslin,51.79108172,957.617101,1990.849181,33.1462923,2006,2005,2004,2003,3.033403656,32.13950241,0.094382409,,,Teslin,2010,51.79108172,957.617101,1990.849181,33.1462923,,0,0,-2.72848E-12,0
271,2010,Upper Lakes and Mainstem,0,949.3439143,1367.055237,0,2006,2005,2004,2003,2.316399151,32.13950241,0.072073274,,,Upper Lakes and Mainstem,2010,0,949.3439143,1367.055237,0,,0,0,0,0
306,2010,White-Donjek,0,3056.579813,764.1449533,0,2006,2005,2004,2003,3.820724767,32.13950241,0.1188794,,,White-Donjek,2010,0,3056.579813,764.1449533,0,,0,0,0,0
27,2011,Aggregate,1022.1332,14082.72379,28733.29961,3747.821668,2007,2006,2005,2004,NA,NA,NA,,,Aggregate,2011,1022.1332,14082.72379,28733.29961,3747.821668,,1.81899E-12,2.18279E-11,3.63798E-11,0
62,2011,Carmacks,0,1123.236647,10109.12982,37.13178997,2007,2006,2005,2004,11.26949826,47.58597827,0.236823927,,,Carmacks,2011,0,1123.236647,10109.12982,37.13178997,,0,-5.22959E-12,3.45608E-11,-6.39488E-14
97,2011,Lower Mainstem,0,483.4513734,2726.967903,30.21571083,2007,2006,2005,2004,3.240634987,47.58597827,0.068100628,,,Lower Mainstem,2011,0,483.4513734,2726.967903,30.21571083,,0,0,0,0
132,2011,Middle Mainstem,0,3568.03898,5779.633388,66.34783226,2007,2006,2005,2004,9.4140202,47.58597827,0.19783181,,,Middle Mainstem,2011,0,3568.03898,5779.633388,66.34783226,,0,0,0,0
167,2011,Pelly,1.083863616,1404.687246,4865.463772,39.01909017,2007,2006,2005,2004,6.310253972,47.58597827,0.132607423,,,Pelly,2011,1.083863616,1404.687246,4865.463772,39.01909017,,2.22045E-15,-3.86535E-12,0,0
202,2011,Stewart,0,125.7093721,2360.542654,0,2007,2006,2005,2004,2.486252026,47.58597827,0.052247576,,,Stewart,2011,0,125.7093721,2360.542654,0,,0,-1.27898E-13,0,0
237,2011,Teslin,20.92666755,1099.957963,5525.948149,472.1579365,2007,2006,2005,2004,7.118990716,47.58597827,0.149602698,,,Teslin,2011,20.92666755,1099.957963,5525.948149,472.1579365,,2.84217E-14,0,0,0
272,2011,Upper Lakes and Mainstem,144.8132723,325.8298627,4380.601487,0,2007,2006,2005,2004,4.851244622,47.58597827,0.101946935,,,Upper Lakes and Mainstem,2011,144.8132723,325.8298627,4380.601487,0,,0,-4.54747E-13,0,0
307,2011,White-Donjek,22.44250766,1436.32049,1436.32049,0,2007,2006,2005,2004,2.895083488,47.58597827,0.060839003,,,White-Donjek,2011,22.44250766,1436.32049,1436.32049,0,,0,-4.09273E-12,-4.09273E-12,0
28,2012,Aggregate,2303.968328,10164.56623,19787.02217,1490.80305,2008,2007,2006,2005,NA,NA,NA,,,Aggregate,2012,2303.968328,10164.56623,19787.02217,1490.80305,,-4.54747E-12,-4.00178E-11,3.27418E-11,5.00222E-12
63,2012,Carmacks,0,1322.6539,4285.398635,13.226539,2008,2007,2006,2005,5.621279074,33.74635978,0.166574383,,,Carmacks,2012,0,1322.6539,4285.398635,13.226539,,0,0,0,0
98,2012,Lower Mainstem,243.9814176,6099.535441,975.9256705,0,2008,2007,2006,2005,7.319442529,33.74635978,0.216895765,,,Lower Mainstem,2012,243.9814176,6099.535441,975.9256705,0,,0,0,0,0
133,2012,Middle Mainstem,243.3856229,788.5694182,5607.604752,38.94169966,2008,2007,2006,2005,6.678501492,33.74635978,0.197902871,,,Middle Mainstem,2012,243.3856229,788.5694182,5607.604752,38.94169966,,3.69482E-13,0,0,0
