,year,Population,age_4,age_5,age_6,age_7,year_4,year_5,year_6,year_7,S_med,S_med_total,popn_prop,,,Population,year,Age_4,Age_5,Age_6,Age_7,,x,j,j,j
283,1987,White-Donjek,0,159.2553616,2548.085786,637.0214464,1983,1982,1981,1980,3.344362594,36.33067765,0.092053405,,,White-Donjek,1987,0,159.2553616,2548.085786,637.0214464,,0,-3.12639E-13,0,0
4,1988,Aggregate,575.1178308,6053.153155,10944.69206,22986.05349,1984,1983,1982,1981,NA,NA,NA,,,Aggregate,1988,575.1178308,6053.153155,10944.69206,22986.05349,,0,0,0,-3.27418E-11
39,1988,Carmacks,85.80606244,903.1144745,1632.919169,3429.458513,NA,NA,NA,NA,6.051298219,40.55901654,0.149197361,,,Carmacks,1988,85.80606244,903.1144745,1632.919169,3429.458513,,0,0,4.3201E-12,0
74,1988,Lower Mainstem,28.5165103,300.1381544,542.6790948,1139.735192,NA,NA,NA,NA,2.011068951,40.55901654,0.04958377,,,Lower Mainstem,1988,28.5165103,300.1381544,542.6790948,1139.735192,,0,0,0,-3.18323E-12
109,1988,Middle Mainstem,70.45580865,741.5520395,1340.798508,2815.946402,NA,NA,NA,NA,4.968752758,40.55901654,0.122506737,,,Middle Mainstem,1988,70.45580865,741.5520395,1340.798508,2815.946402,,0,0,-4.54747E-12,-5.00222E-12
144,1988,Pelly,117.4703545,1236.38324,2235.501644,4695.002846,NA,NA,NA,NA,8.284358085,40.55901654,0.204254412,,,Pelly,1988,117.4703545,1236.38324,2235.501644,4695.002846,,-3.41061E-13,2.27374E-12,0,0
179,1988,Stewart,115.3824415,1214.407818,2195.767935,4611.554069,NA,NA,NA,NA,8.137112264,40.55901654,0.200624003,,,Stewart,1988,115.3824415,1214.407818,2195.767935,4611.554069,,-5.11591E-13,0,4.09273E-12,0
214,1988,Teslin,91.99446463,968.2478164,1750.686612,3676.793818,NA,NA,NA,NA,6.487722711,40.55901654,0.159957594,,,Teslin,1988,91.99446463,968.2478164,1750.686612,3676.793818,,0,0,-2.50111E-12,0
249,1988,Upper Lakes and Mainstem,12.91479444,135.9290645,245.7730236,516.1727562,NA,NA,NA,NA,0.910789639,40.55901654,0.02245591,,,Upper Lakes and Mainstem,1988,12.91479444,135.9290645,245.7730236,516.1727562,,-1.59872E-14,3.69482E-13,0,0
284,1988,White-Donjek,52.57739428,553.3805475,1000.566073,2101.389894,NA,NA,NA,NA,3.707913909,40.55901654,0.091420212,,,White-Donjek,1988,52.57739428,553.3805475,1000.566073,2101.389894,,0,0,4.66116E-12,0
5,1989,Aggregate,1422.461163,9084.682992,27496.07361,9882.24817,1985,1984,1983,1982,NA,NA,NA,,,Aggregate,1989,1422.461163,9084.682992,27496.07361,9882.24817,,3.63798E-12,0,0,0
40,1989,Carmacks,123.4717423,788.5639805,2386.700039,857.7938229,NA,NA,NA,NA,4.156529585,47.88546594,0.086801486,,,Carmacks,1989,123.4717423,788.5639805,2386.700039,857.7938229,,1.42109E-13,0,0,0
