"year","Population","water_temp","prop_4","prop_5","prop_6","prop_7","Mig_temp_returns"
1985,"Carmacks",16.1969696969697,0.0343817009186726,0.239231251860063,0.64835636055805,0.078030686663214,16.8567930266889
1986,"Carmacks",15.453125,0.0240013791365008,0.132984617782325,0.803410634312323,0.0396033687688508,17.8473295164161
1987,"Carmacks",15.1515151515152,0.0787750687775069,0.453856799466195,0.375352651858347,0.0920154798979507,17.1187998117761
1988,"Carmacks",17.125,0.0900280598509491,0.251941054149238,0.494094860326717,0.163936025673095,15.8717624178798
1989,"Carmacks",15.1515151515152,0.170373865446565,0.133651661806927,0.623497019034354,0.0724774537121542,15.8910738921948
1990,"Carmacks",15.0608376,0.180067706073931,0.160365184414947,0.585889411935766,0.073677697575356,15.6282468104274
1991,"Carmacks",17.4642857142857,0.0301332818790731,0.126153015695576,0.794745081422036,0.048968621003315,16.3330513191744
1992,"Carmacks",18.0666666666667,0.36386828554569,0.262614177886165,0.373517536568144,0,15.7491459001119
1993,"Carmacks",16.3727272727273,0.107895988260124,0.523489465651984,0.2379911447823,0.130623401305593,15.9475027420899
1994,"Carmacks",15.1911764705882,0.0660236090043068,0.53570577645328,0.294026531162239,0.104244083380175,16.226803094775
1995,"Carmacks",15.9477520230769,0.148361190749541,0.366431680423698,0.422911330017778,0.0622957988089838,15.4050640651803
1996,"Carmacks",15.5619047619048,0.403611094961461,0.287614455032607,0.308774450005931,0,15.3198313024963
1997,"Carmacks",16.5285714285714,0.0108882793247558,0.406839079945798,0.542338990462605,0.0399336502668409,15.6138687351442
1998,"Carmacks",15.3835483870968,0.117887384243824,0.457164804991545,0.323997536908993,0.100950273855638,16.6575735316868
1999,"Carmacks",16.4840952380952,0.039213487875262,0.222328111813953,0.717673904834604,0.0207844954761806,17.2797982742318
2000,"Carmacks",16.75,0.0948269746109364,0.277868078207044,0.625109802479771,0.00219514470224782,16.4269283048663
2001,"Carmacks",13.962962962963,0.0191321393262334,0.731288817709247,0.225739986855016,0.023839056109504,16.3731811501637
2002,"Carmacks",14.7142857142857,0.149938495215184,0.373926074803924,0.476135429980892,0,16.480697678633
2003,"Carmacks",16.1526,0.0244721731777633,0.24551424492358,0.713500713968062,0.0165128679305941,16.0407994653108
